Niveau_alerte,date,region_id,hospit_pct,first_dose,second_dose,CONNECT_lag,Faibles_revenues_65_ans,Immigration_2011_2016
1,2021-07-30,2,0.000361836392057,0.77026283795519,0.628090082788166,0.7,0.017,0.0022
1,2021-07-30,3,0.000273973728659,0.794469018365829,0.632687531592596,0.7,0.084,0.0174
1,2021-07-30,4,0.000196652579787,0.748898253921744,0.583605861033488,0.7,0.021,0.0053
1,2021-07-30,5,0.000846354855432,0.767766575330872,0.591904615807793,0.7,0.021,0.0113
1,2021-07-30,6,0.001802224872351,0.736428216868413,0.561378115016962,0.7,0.145,0.0714
1,2021-07-30,7,0.001568201064286,0.739351914773499,0.586541175732611,0.7,0.06,0.0201
1,2021-07-30,8,0.000681584274488,0.728354587402959,0.553173797174152,0.7,0.015,0.0039
1,2021-07-30,9,0,0.717654942821937,0.601763981063144,0.7,0.013,0.0026
1,2021-07-30,10,0,0.679665542439573,0.564853850477796,0.7,0.011,0.0039
1,2021-07-30,11,0.001107284826876,0.823875275437101,0.740153469677005,0.7,0.011,0.0022
1,2021-07-30,12,0,0.762663003889717,0.594336343856676,0.7,0.03,0.0041
1,2021-07-30,13,0.000709231594849,0.732704796533276,0.558349665360892,0.7,0.085,0.0358
1,2021-07-30,14,0.000202103493157,0.774551532348685,0.607525121464199,0.7,0.04,0.0054
1,2021-07-30,15,0.000169664065151,0.793137088564642,0.598454360366474,0.7,0.042,0.0061
1,2021-07-30,16,0.000517193354213,0.798805135582238,0.619468340008822,0.7,0.05,0.0167
1,2021-07-31,1,0,0.766572941206272,0.639156977480558,0.7,0.014,0.0031
1,2021-07-31,2,0.000361836392057,0.770407572512013,0.630112748219765,0.7,0.017,0.0022
1,2021-07-31,3,0.000273973728659,0.794904636594397,0.638153307479346,0.7,0.084,0.0174
1,2021-07-31,4,0,0.74940955062919,0.59045920343906,0.7,0.021,0.0053
1,2021-07-31,5,0.000846354855432,0.768375950826783,0.596009436856638,0.7,0.021,0.0113
1,2021-07-31,6,0.001750732733141,0.737377731915446,0.568348090980431,0.7,0.145,0.0714
1,2021-07-31,7,0.001568201064286,0.739767488055535,0.591002707760504,0.7,0.06,0.0201
1,2021-07-31,8,0.000681584274488,0.728709011225693,0.558210704962615,0.7,0.015,0.0039
1,2021-07-31,9,0,0.717719795066906,0.602282799022893,0.7,0.013,0.0026
1,2021-07-31,10,0,0.679946599213041,0.564994378864531,0.7,0.011,0.0039
1,2021-07-31,11,0.001107284826876,0.823886348285369,0.740607456456024,0.7,0.011,0.0022
1,2021-07-31,12,0,0.763036740445913,0.599835270256759,0.7,0.03,0.0041
1,2021-07-31,13,0.000709231594849,0.733520412867352,0.563283553155726,0.7,0.085,0.0358
1,2021-07-31,14,0.000202103493157,0.775171990072676,0.61398434910549,0.7,0.04,0.0054
1,2021-07-31,15,0.000169664065151,0.793773328808958,0.608576518493383,0.7,0.042,0.0061
1,2021-07-31,16,0.000443308589326,0.7994545826656,0.628168271074336,0.7,0.05,0.0167
1,2021-08-01,1,0,0.766902246877929,0.64375712440155,0.7,0.014,0.0031
1,2021-08-01,2,0.000361836392057,0.770487176518266,0.631375557228044,0.7,0.017,0.0022
1,2021-08-01,3,0.000273973728659,0.79528819981452,0.642488941735377,0.7,0.084,0.0174
1,2021-08-01,4,0.000196652579787,0.749667165508711,0.595135601786392,0.7,0.021,0.0053
1,2021-08-01,5,0.000846354855432,0.76870814510754,0.598887043365107,0.7,0.021,0.0113
1,2021-08-01,6,0.001750732733141,0.73808729359376,0.572762512074907,0.7,0.145,0.0714
1,2021-08-01,7,0.001568201064286,0.740096810279035,0.594254111300457,0.7,0.06,0.0201
1,2021-08-01,8,0.000681584274488,0.728852143923335,0.561345992625258,0.7,0.015,0.0039
1,2021-08-01,9,0,0.717763029896885,0.602455738342809,0.7,0.013,0.0026
1,2021-08-01,10,0,0.679946599213041,0.564994378864531,0.7,0.011,0.0039
1,2021-08-01,11,0.001107284826876,0.823897421133638,0.740839986269668,0.7,0.011,0.0022
1,2021-08-01,12,0,0.763265267257345,0.603701182150152,0.7,0.03,0.0041
1,2021-08-01,13,0.000709231594849,0.734101982775129,0.567543670935453,0.7,0.085,0.0358
1,2021-08-01,14,0.000202103493157,0.775604491548032,0.618665066007001,0.7,0.04,0.0054
1,2021-08-01,15,0.000169664065151,0.794448591788259,0.61411265693926,0.7,0.042,0.0061
1,2021-08-01,16,0.000443308589326,0.799912668207903,0.633412611686058,0.7,0.05,0.0167
1,2021-08-02,1,0,0.767267016237303,0.650581351166502,0.7,0.014,0.0031
1,2021-08-02,2,0.000361836392057,0.770950327100098,0.634925172234123,0.7,0.017,0.0022
1,2021-08-02,3,0.000273973728659,0.795792311475253,0.64650539659752,0.7,0.084,0.0174
1,2021-08-02,4,0,0.750029006255519,0.598101122689578,0.7,0.021,0.0053
1,2021-08-02,5,0.000634766141574,0.769493139235953,0.605207198248045,0.7,0.021,0.0113
1,2021-08-02,6,0.001596256315511,0.738984286658799,0.578047665243424,0.7,0.145,0.0714
1,2021-08-02,7,0.001568201064286,0.740700567688785,0.598851554087255,0.7,0.06,0.0201
1,2021-08-02,8,0.000681584274488,0.729295173701752,0.566723692550965,0.7,0.015,0.0039
1,2021-08-02,9,0,0.717881925679327,0.602952938887568,0.7,0.013,0.0026
